date,ticker,name,market,sector,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,trdval_20,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60,r75,r90
2026-01-12,000120,CJ대한통운,KOSPI,기타,98300.0,100900.0,15.6,7.6,107,15,25.07.14,25.12.18,1.52,True,5.2,51,79.5,-0.2,0.1,-0.92,0.81,0.71,19.13,36.83,13.84,10.07,,,
2026-01-13,000120,CJ대한통운,KOSPI,기타,98100.0,100900.0,15.6,7.6,107,16,25.07.14,25.12.18,1.55,True,-0.0,43,75.9,1.53,-0.71,-1.22,0.1,4.28,39.35,34.56,12.13,,,,
2026-01-14,000120,CJ대한통운,KOSPI,기타,99600.0,100900.0,15.6,7.6,107,17,25.07.14,25.12.18,1.51,True,1.2,43,78.2,-1.2,-2.21,-1.61,-0.3,3.82,46.29,28.31,14.86,,,,
2026-01-15,000120,CJ대한통운,KOSPI,기타,98400.0,100900.0,15.6,7.6,107,18,25.07.14,25.12.18,1.25,False,-1.2,43,79.8,-1.02,-1.52,1.93,4.57,11.18,45.12,12.3,19.82,,,,
2025-03-11,016610,DB증권,KOSPI,기타,5920.0,6090.0,19.1,5.6,105,9,24.09.13,25.02.26,1.17,False,32.6,75,5.1,0.34,-0.34,-0.34,-1.52,-7.77,-8.78,1.69,6.42,11.15,32.94,41.55,66.39
2025-03-12,016610,DB증권,KOSPI,기타,5940.0,6090.0,19.1,5.6,105,10,24.09.13,25.02.26,1.21,False,34.7,75,4.8,-0.51,-1.01,-0.34,-2.02,-7.74,-10.1,2.53,8.42,11.95,32.32,39.39,61.78
2025-03-13,016610,DB증권,KOSPI,기타,5910.0,6090.0,19.1,5.6,105,11,24.09.13,25.02.26,1.32,False,34.2,75,4.6,-0.17,-0.17,0.34,-2.2,-7.61,-7.78,3.38,10.15,9.98,33.84,40.78,59.22
2025-03-19,016610,DB증권,KOSPI,기타,5920.0,6090.0,19.1,5.6,105,15,24.09.13,25.02.26,0.79,False,30.9,75,4.1,0.17,-0.34,-1.69,-7.43,-9.8,-2.87,7.26,6.42,26.18,39.86,55.07,53.55
2025-03-20,016610,DB증권,KOSPI,기타,5930.0,6090.0,19.1,5.6,105,16,24.09.13,25.02.26,0.73,False,25.9,75,4.0,-0.51,-1.69,-2.53,-7.93,-8.09,-2.19,7.42,7.08,32.38,38.79,66.27,51.26
2024-03-04,005830,DB손해보험,KOSPI,기타,99100.0,102100.0,19.3,9.9,101,10,23.09.15,24.02.19,1.35,False,21.2,67,209.2,-1.11,-1.72,-2.62,2.22,5.45,-5.95,-10.49,-1.82,10.09,4.44,8.68,6.76
2024-03-21,005830,DB손해보험,KOSPI,기타,103100.0,106200.0,19.3,5.8,118,6,23.09.15,24.03.14,1.78,True,18.2,72,261.5,0.48,0.1,-6.6,-7.76,-14.55,-15.13,-7.66,-2.52,1.07,7.37,5.43,5.82
2024-03-22,005830,DB손해보험,KOSPI,기타,103600.0,106200.0,19.3,5.8,118,7,23.09.15,24.03.14,1.12,False,19.3,67,263.8,0.87,-2.51,-8.59,-6.85,-12.55,-9.94,-6.18,-4.25,1.93,7.24,4.34,0.39
2024-03-25,005830,DB손해보험,KOSPI,기타,104500.0,106200.0,19.3,5.8,118,8,23.09.15,24.03.14,1.12,False,20.0,67,262.4,-1.24,-7.85,-10.81,-8.42,-15.12,-8.61,-8.61,-4.5,2.2,3.06,1.24,-8.33
2024-03-26,005830,DB손해보험,KOSPI,기타,103200.0,106200.0,19.3,5.8,118,9,23.09.15,24.03.14,1.17,False,20.3,67,266.4,-2.13,-8.24,-7.75,-7.07,-14.63,-8.72,-5.04,-3.68,1.84,6.69,2.03,-4.07
2026-02-19,004840,DRB동일,KOSPI,기타,6030.0,6140.0,21.5,8.5,135,12,25.07.14,26.01.30,0.7,False,-10.3,47,6.5,1.16,3.65,0.83,-3.48,-7.13,-6.47,,,,,,
2026-02-20,004840,DRB동일,KOSPI,기타,6100.0,6140.0,21.5,8.5,135,13,25.07.14,26.01.30,0.74,False,-10.2,47,6.5,1.15,1.48,0.66,-10.33,-9.84,-11.15,,,,,,
2026-03-05,069730,DSR제강,KOSPI,기타,4450.0,4450.0,17.1,12.1,107,8,25.09.10,26.02.23,2.59,True,-5.3,54,3.0,-0.22,7.87,7.53,7.87,8.31,,,,,,,
2026-03-06,069730,DSR제강,KOSPI,기타,4440.0,4450.0,17.1,12.1,107,9,25.09.10,26.02.23,2.54,True,-6.3,54,3.1,-0.79,7.21,9.23,10.14,7.66,,,,,,,
2026-03-09,069730,DSR제강,KOSPI,기타,4405.0,4450.0,17.1,12.1,107,10,25.09.10,26.02.23,2.6,True,-0.4,54,3.1,8.97,8.63,9.53,6.7,,,,,,,,
2026-02-13,017940,E1,KOSPI,기타,100800.0,103900.0,27.8,8.3,141,5,25.07.14,26.02.09,1.78,True,-2.1,52,25.1,6.55,5.65,4.37,-1.49,-3.27,-1.09,,,,,,
2022-11-30,078930,GS,KOSPI,기타,48600.0,48800.0,20.6,5.4,123,18,22.05.09,22.11.07,0.93,False,19.3,71,72.1,-1.54,-4.22,-6.79,-5.14,-5.97,-7.92,-9.98,-7.3,-11.63,-15.43,-19.03,-17.39
2022-12-01,078930,GS,KOSPI,기타,47850.0,48800.0,20.6,5.4,123,19,22.05.09,22.11.07,0.97,False,18.1,71,73.2,-0.63,-3.45,-5.22,-4.6,-2.51,-8.46,-6.58,-7.63,-8.99,-15.05,-17.66,-15.26
2022-12-02,078930,GS,KOSPI,기타,47550.0,48800.0,20.6,5.4,123,20,22.05.09,22.11.07,1.01,False,17.5,71,72.9,-2.1,-4.73,-3.47,-3.26,-2.0,-10.41,-6.73,-6.2,-9.15,-13.04,-17.35,-15.56
2024-02-16,002380,KCC,KOSPI,기타,266000.0,271500.0,18.8,6.3,93,8,23.09.15,24.02.05,2.35,True,9.7,62,150.1,6.58,1.88,3.38,5.45,4.51,3.2,-3.2,-13.16,-5.26,18.05,7.33,14.85
2024-03-04,002380,KCC,KOSPI,기타,280500.0,283500.0,24.4,8.1,99,10,23.09.19,24.02.19,1.12,False,25.0,79,170.7,-0.53,1.6,-0.89,-2.14,-0.71,-8.2,-17.65,-10.16,11.94,4.81,-1.25,19.43
2024-03-05,002380,KCC,KOSPI,기타,279000.0,283500.0,24.4,8.1,99,11,23.09.19,24.02.19,0.87,False,19.4,71,153.4,2.69,4.48,-1.61,0.54,-1.61,-8.6,-17.74,-11.29,11.83,7.89,10.04,16.49
2024-03-20,002380,KCC,KOSPI,기타,290000.0,291500.0,24.4,5.8,112,9,23.09.19,24.03.08,0.72,False,20.5,71,110.7,-0.34,-3.97,-6.9,-10.52,-16.55,-18.79,-3.28,11.03,2.41,-3.45,6.38,13.28
2024-03-21,002380,KCC,KOSPI,기타,289000.0,291500.0,24.4,5.8,112,10,23.09.19,24.03.08,0.72,False,20.3,71,111.4,-1.04,-5.02,-8.3,-11.07,-19.38,-20.42,-1.9,10.9,4.33,-2.6,6.57,14.19
2024-03-22,002380,KCC,KOSPI,기타,286000.0,291500.0,24.4,5.8,112,11,23.09.19,24.03.08,0.64,False,20.0,71,110.4,-2.62,-5.59,-9.27,-9.62,-17.48,-15.56,0.87,8.74,3.5,-0.87,9.79,6.47
2024-06-20,009070,KCTC,KOSPI,기타,4660.0,4745.0,25.5,5.4,101,5,24.01.15,24.06.14,2.58,True,31.3,95,15.3,0.75,3.33,-0.21,-6.97,-6.97,-11.37,35.19,16.09,-5.47,8.37,3.0,-3.22
2024-06-21,009070,KCTC,KOSPI,기타,4695.0,4745.0,25.5,5.4,101,6,24.01.15,24.06.14,2.59,True,31.8,95,15.7,0.64,1.6,3.62,-8.2,-8.63,-13.53,26.73,8.2,-3.62,9.27,1.06,-3.83
2024-06-24,009070,KCTC,KOSPI,기타,4725.0,4745.0,25.5,5.4,101,7,24.01.15,24.06.14,2.81,True,33.2,95,16.0,1.9,-1.59,-0.53,-8.78,-10.79,-15.03,7.09,7.72,5.61,6.67,1.16,-8.36
2025-12-01,001940,KISCO홀딩스,KOSPI,기타,26550.0,27350.0,16.2,5.7,108,12,25.06.09,25.11.14,0.6,False,2.9,43,3.4,-1.13,-0.94,0.75,0.0,-1.69,-5.27,-2.45,-3.77,-10.17,-13.37,-1.13,
2024-01-29,044450,KSS해운,KOSPI,기타,9680.0,9830.0,20.8,7.4,132,11,23.06.30,24.01.15,0.53,False,13.4,63,88.6,-1.14,-1.86,-0.52,-6.51,-5.17,-8.06,-12.81,-13.12,-17.46,-15.7,-16.74,-15.39
2024-01-30,044450,KSS해운,KOSPI,기타,9570.0,9830.0,20.8,7.4,132,12,23.06.30,24.01.15,0.48,False,11.5,63,88.4,-1.25,1.88,-2.61,-6.48,-5.43,-7.11,-14.42,-14.32,-17.45,-14.84,-15.36,-14.84
2024-02-02,044450,KSS해운,KOSPI,기타,9750.0,9830.0,20.8,7.4,132,15,23.06.30,24.01.15,0.28,False,6.6,55,87.1,-1.23,-3.28,-6.56,-5.95,-9.13,-10.36,-15.59,-15.79,-19.08,-15.08,-16.0,-16.31
2024-02-05,044450,KSS해운,KOSPI,기타,9630.0,9830.0,20.8,7.4,132,16,23.06.30,24.01.15,0.24,False,4.0,47,87.8,-3.22,-2.6,-6.02,-4.67,-7.58,-11.01,-13.4,-14.33,-16.82,-12.77,-16.2,-13.81
2024-10-04,030200,KT,KOSPI,기타,40800.0,42050.0,21.1,5.5,142,11,24.02.19,24.09.13,1.22,False,29.2,79,320.9,0.61,-1.23,0.25,5.27,7.23,8.09,2.45,20.1,13.85,7.72,11.89,14.71
2024-10-07,030200,KT,KOSPI,기타,41050.0,42050.0,21.1,5.5,142,12,24.02.19,24.09.13,1.07,False,29.2,79,322.2,-2.19,-2.07,-0.12,7.19,6.58,4.87,1.71,18.51,11.45,8.4,14.49,16.08
2024-10-14,030200,KT,KOSPI,기타,40900.0,42050.0,21.1,5.5,142,16,24.02.19,24.09.13,0.75,False,30.6,79,275.3,0.24,4.65,5.01,6.97,7.82,8.56,9.54,8.31,11.74,10.02,13.57,17.48
2024-10-15,030200,KT,KOSPI,기타,41000.0,42050.0,21.1,5.5,142,17,24.02.19,24.09.13,0.75,False,31.2,79,262.3,4.15,4.63,7.32,6.71,5.0,6.1,10.98,6.95,12.44,7.8,12.32,16.22
2024-11-20,030200,KT,KOSPI,기타,43300.0,44400.0,21.1,7.3,177,8,24.02.19,24.11.11,1.28,False,33.9,79,441.9,1.62,3.46,9.93,10.51,3.0,5.77,2.08,6.35,4.73,9.01,15.01,11.66
2024-11-21,030200,KT,KOSPI,기타,44000.0,44400.0,21.1,7.3,177,9,24.02.19,24.11.11,1.2,False,36.2,79,455.2,1.14,3.41,11.02,8.41,0.57,2.16,-0.34,4.55,4.2,9.09,12.5,7.84
2025-08-05,033780,KT&G,KOSPI,기타,137200.0,140700.0,23.0,8.2,145,17,24.12.04,25.07.14,1.03,False,8.9,55,365.7,2.41,7.29,2.41,-0.51,-0.15,-1.24,-0.29,-1.97,0.44,-0.95,3.94,5.9
2025-08-06,033780,KT&G,KOSPI,기타,140500.0,140700.0,23.0,8.2,145,18,24.12.04,25.07.14,1.18,False,10.8,63,373.8,-1.42,-0.28,-2.06,-2.42,-3.2,-3.06,-0.85,-4.63,-2.21,-1.99,2.49,2.21
2025-08-07,033780,KT&G,KOSPI,기타,138500.0,140700.0,23.0,8.2,145,19,24.12.04,25.07.14,1.25,False,8.6,55,381.8,6.28,1.44,-3.47,-1.16,-2.74,-2.38,1.37,-2.38,-1.52,-1.95,5.05,5.92
2026-02-03,003550,LG,KOSPI,기타,91500.0,93300.0,16.0,5.8,144,8,25.06.24,26.01.23,1.36,False,-6.9,43,310.6,2.19,-1.97,1.53,7.65,17.7,-2.4,-5.14,,,,,
2022-05-17,001120,LX인터내셔널,KOSPI,기타,38850.0,40050.0,38.8,7.0,145,8,21.10.05,22.05.06,0.62,False,35.6,75,198.3,-1.54,-2.7,-3.35,-2.06,5.66,0.0,-16.22,-25.74,-18.4,-12.48,14.03,1.67
2022-05-27,001120,LX인터내셔널,KOSPI,기타,39200.0,40050.0,38.8,7.0,145,16,21.10.05,22.05.06,0.44,False,37.2,75,124.8,-3.06,-2.04,2.81,1.4,-9.06,-12.63,-26.4,-19.77,-15.31,1.79,5.36,7.02
2022-06-03,001120,LX인터내셔널,KOSPI,기타,39000.0,40050.0,38.8,7.0,145,20,21.10.05,22.05.06,0.51,False,35.7,75,114.5,3.33,5.26,2.69,-7.82,-15.38,-18.85,-22.95,-14.87,-9.87,9.62,8.97,10.38
2023-03-31,066570,LG전자,KOSPI,기타,115300.0,117900.0,24.8,5.2,144,11,22.08.17,23.03.17,0.84,False,27.3,79,1094.6,-1.3,1.3,-0.87,-0.09,-6.5,-5.2,-4.16,6.5,7.2,9.28,5.29,-11.62
2023-04-04,066570,LG전자,KOSPI,기타,115900.0,117900.0,24.8,5.2,144,13,22.08.17,23.03.17,0.73,False,25.9,79,1089.6,0.78,-1.38,-2.85,-3.71,-6.04,-5.69,-2.5,6.21,7.77,9.66,3.54,-12.42
2023-04-05,066570,LG전자,KOSPI,기타,116800.0,117900.0,24.8,5.2,144,14,22.08.17,23.03.17,0.83,False,26.4,79,1046.6,-2.48,-3.25,-1.88,-3.34,-7.19,-6.51,-2.91,8.9,5.91,9.76,1.88,-14.73
2023-04-12,066570,LG전자,KOSPI,기타,114600.0,117900.0,24.8,5.2,144,19,22.08.17,23.03.17,1.14,False,21.4,71,1038.8,0.61,-2.09,-1.48,-5.41,-4.71,-2.44,-1.66,8.55,7.33,3.4,-4.71,-13.96
2023-04-13,066570,LG전자,KOSPI,기타,115300.0,117900.0,24.8,5.2,144,20,22.08.17,23.03.17,1.23,False,19.7,71,1058.3,-0.09,-3.21,-4.08,-6.59,-2.6,-3.3,8.33,8.15,6.5,4.25,-8.24,-14.05
2023-08-22,108675,LX하우시스우,KOSPI,기타,21450.0,21750.0,17.6,7.8,179,18,22.11.08,23.07.27,1.27,False,21.9,67,0.9,2.1,-0.7,2.56,-3.03,-3.96,-6.53,-9.56,-12.35,-8.62,-3.5,8.62,-5.83
2022-11-24,051915,LG화학우,KOSPI,기타,330500.0,335000.0,28.1,5.8,187,9,22.02.10,22.11.14,0.88,False,18.3,71,46.4,1.06,0.15,-1.51,-8.62,-8.93,-8.17,-14.98,-13.46,-10.14,-5.14,-8.32,-0.91
2022-11-25,051915,LG화학우,KOSPI,기타,334000.0,335000.0,28.1,5.8,187,10,22.02.10,22.11.14,0.91,False,20.5,71,46.8,-0.6,0.3,-4.94,-13.47,-8.68,-11.38,-13.32,-11.68,-11.08,-8.98,-9.13,-4.79
