date,ticker,cap,sector,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,rs,score,r5,r10,r20,r60,alpha5,alpha20,alpha60,label_cup,label_win5,label_win10,label_win20
2023-12-22,AMPH,SmallCap,헬스케어,60.92,61.73,29.7,8.3,102,8,23.07.20,23.12.13,0.66,35.1,79,2.25,-6.73,-9.36,-26.9,2.46,-11.84,-37.15,,1,0,0
2025-12-19,APP,SmallCap,기타,721.37,724.62,27.6,9.3,49,9,25.09.30,25.12.09,1.0,63.7,79,-3.13,-14.44,-26.17,-39.02,-4.2,-26.88,-35.97,,0,0,0
2024-11-21,AX,MidCap,금융,82.12,84.03,22.8,5.2,73,9,24.07.30,24.11.11,0.95,35.8,79,0.89,-1.55,-12.65,-19.37,-0.61,-12.23,-20.43,,1,0,0
2022-07-05,CI,LargeCap,헬스케어,264.84,272.4,28.1,11.1,266,25,21.05.10,22.05.27,0.92,30.5,76,5.48,3.69,2.49,6.69,5.78,-4.34,9.68,,1,1,1
2023-11-14,CUBI,SmallCap,금융,44.23,44.69,24.1,8.1,68,8,23.07.31,23.11.03,1.16,36.6,79,0.79,3.69,16.87,19.53,-0.22,12.02,7.89,,1,1,1
2024-01-18,DSP,SmallCap,기술,7.16,7.4,29.0,12.4,86,16,23.08.23,23.12.26,0.83,37.2,74,16.62,24.72,22.07,23.32,14.2,16.71,17.45,,1,1,1
2022-09-19,ERII,SmallCap,산업,25.18,26.02,29.0,6.1,201,7,21.11.19,22.09.09,2.2,35.6,90,-6.12,-12.07,-10.64,-11.44,0.12,-5.05,-14.89,,0,0,0
2022-07-11,EXLS,MidCap,산업,30.55,30.68,21.8,5.2,123,10,21.12.29,22.06.27,0.83,31.7,79,-5.68,-5.87,13.51,3.55,-5.09,6.02,5.18,,0,0,1
2023-02-28,FOLD,MidCap,헬스케어,13.19,13.51,21.6,7.5,111,18,22.08.24,23.02.02,0.82,37.6,79,-8.26,-12.89,-15.01,-11.22,-8.77,-14.84,-14.96,,0,0,0
2024-01-12,FRSH,MidCap,기술,23.59,24.48,26.3,12.3,72,17,23.09.07,23.12.19,0.87,32.9,74,-6.87,-1.27,-8.52,-23.87,-8.29,-13.62,-31.72,,0,0,0
2022-11-09,FSS,MidCap,산업,47.16,47.93,27.0,6.2,208,7,22.01.04,22.11.01,0.95,31.8,79,4.54,4.52,-0.49,15.67,-1.16,-6.4,4.7,,1,1,0
2024-05-31,HCC,MidCap,소재,68.43,70.91,24.2,10.8,69,24,24.01.19,24.04.29,0.55,33.6,76,-1.23,-6.36,7.22,-11.79,-2.49,3.81,-18.27,,0,0,1
2022-11-30,HRMY,MidCap,헬스케어,59.77,59.94,24.1,7.2,66,19,22.08.02,22.11.03,0.48,45.4,79,0.42,-1.87,-7.71,-26.33,3.98,-1.76,-23.53,,1,0,0
2022-11-25,KRYS,MidCap,헬스케어,78.72,78.88,23.4,5.9,65,13,22.08.08,22.11.08,0.46,39.9,79,-1.55,-9.77,-2.65,-0.61,-2.69,2.18,-0.19,,0,0,0
2025-06-10,LBRDA,LargeCap,소비순환재,95.48,100.2,27.9,8.2,130,17,24.11.06,25.05.16,1.12,31.6,79,-7.57,-1.92,1.32,-37.43,-6.65,-2.45,-44.75,,0,0,1
2025-06-10,LBRDK,LargeCap,소비순환재,96.43,101.29,27.5,8.6,130,17,24.11.06,25.05.16,0.98,32.3,79,-7.76,-1.83,0.86,-37.8,-6.84,-2.91,-45.12,,0,0,1
2025-06-18,LLYVA,SmallCap,기타,77.94,78.08,22.2,8.0,64,22,25.02.14,25.05.19,0.6,47.9,79,-0.24,2.57,3.13,24.26,-2.66,-1.91,13.64,,0,1,1
2025-06-17,LLYVK,SmallCap,기타,77.57,78.79,22.2,7.8,63,22,25.02.14,25.05.16,0.54,45.1,79,1.17,3.45,6.07,29.48,-0.43,0.96,19.46,,1,1,1
2023-09-22,LYTS,SmallCap,소비순환재,15.35,16.05,27.0,8.6,112,25,23.03.09,23.08.18,0.55,33.2,79,3.45,5.41,-3.0,-9.71,4.13,-0.86,-19.36,,1,1,0
2023-12-28,MDB,LargeCap,기술,417.08,435.23,24.6,12.3,95,19,23.07.19,23.12.01,0.39,35.8,74,-12.39,-6.11,0.74,-15.1,-10.55,-2.32,-23.94,,0,0,1
2024-11-21,MGNI,MidCap,소비순환재,16.55,16.8,24.8,6.9,85,7,24.07.16,24.11.13,1.0,34.1,79,1.45,8.76,-1.27,6.83,-0.05,-0.85,5.77,,1,1,0
2023-08-01,MTW,SmallCap,산업,18.85,19.71,27.5,9.9,87,14,23.03.08,23.07.13,1.06,34.5,79,-7.43,-11.67,-11.03,-34.38,-5.74,-9.43,-25.85,,0,0,0
2025-01-03,NATL,MidCap,기술,34.92,35.38,22.8,5.5,111,6,24.07.19,24.12.26,0.64,30.1,79,-8.76,-5.38,-11.03,-18.67,-6.98,-12.69,-14.04,,0,0,0
2023-10-09,NTNX,LargeCap,기술,36.0,36.47,29.7,7.9,184,21,22.12.14,23.09.11,1.02,34.8,79,7.17,-0.67,4.89,24.89,6.3,4.1,16.8,,1,0,1
2022-11-09,NVEE,SmallCap,산업,35.445,36.93,27.3,5.5,208,9,21.12.31,22.10.28,1.31,32.7,79,4.06,2.72,4.06,-2.85,-1.64,-1.85,-13.82,,1,1,1
2025-03-12,PAAS,MidCap,소재,25.25,25.5,22.9,8.3,81,15,24.10.22,25.02.20,1.09,31.0,79,5.03,1.98,-3.33,13.47,3.55,-1.5,6.26,,1,1,0
2024-07-23,PCVX,LargeCap,헬스케어,83.95,84.17,25.9,5.5,95,7,24.02.27,24.07.15,1.05,35.0,79,-4.82,-11.94,-5.88,40.48,-2.69,-6.77,35.33,,0,0,0
2025-08-27,QURE,SmallCap,헬스케어,15.75,16.18,23.1,5.3,48,9,25.06.06,25.08.15,0.61,63.6,79,12.57,7.56,234.29,77.14,12.18,232.52,76.23,,1,1,1
2022-07-18,RELL,SmallCap,기타,15.6,16.2,27.7,10.4,114,15,22.01.11,22.06.27,0.89,52.7,76,4.23,2.88,14.04,23.27,0.66,1.76,29.61,,1,1,1
2022-07-20,RGP,SmallCap,기타,20.14,21.13,19.6,8.0,125,9,22.01.06,22.07.08,0.75,30.5,75,1.74,7.7,6.21,-12.71,0.15,-1.87,-5.41,,1,1,1
2022-06-24,SELF,SmallCap,기타,6.48,6.54,25.7,9.8,249,13,21.06.11,22.06.07,3.61,34.2,100,-12.04,-14.35,-12.19,-13.73,-9.77,-13.6,-12.19,,0,0,0
2022-09-19,SUPN,SmallCap,기타,35.41,35.51,29.1,5.7,297,21,21.06.16,22.08.19,1.0,31.5,79,-8.11,-5.39,-5.25,-0.31,-1.87,0.34,-3.76,,0,0,0
2023-08-04,TPX,LargeCap,소비순환재,45.85,46.29,19.9,6.0,119,8,23.02.02,23.07.26,2.23,31.1,86,-1.33,-6.52,2.7,-14.59,-1.07,1.72,-7.6,,0,0,1
2022-07-19,UTL,SmallCap,유틸리티,58.68,61.0,28.6,6.5,264,12,21.06.15,22.07.01,0.69,33.5,79,-7.96,-5.33,-3.46,-21.13,-7.61,-13.0,-12.03,,0,0,0
2023-11-03,VERX,MidCap,기술,23.4,24.3,22.7,6.3,85,19,23.06.08,23.10.10,0.9,30.7,79,16.11,12.56,21.58,7.99,14.75,16.52,-4.55,,1,1,1
2025-05-21,VIRT,MidCap,금융,41.51,43.15,19.9,5.0,65,9,25.02.05,25.05.09,0.91,32.3,75,-2.17,-1.52,2.43,-0.12,-3.4,0.47,-10.49,,0,0,1
2022-11-29,VLO,LargeCap,에너지,135.2,141.98,24.2,5.0,138,5,22.05.06,22.11.22,0.74,44.6,79,-12.09,-10.85,-7.29,-0.11,-11.74,-2.59,-0.74,,0,0,0
2023-02-14,VMD,SmallCap,헬스케어,8.51,8.71,29.4,6.0,126,10,22.08.02,23.02.01,1.04,45.9,79,3.76,6.46,8.23,21.97,7.18,13.89,22.09,,1,1,1
2022-12-29,VPG,SmallCap,산업,39.3,41.07,28.0,7.7,263,20,21.11.15,22.12.01,0.49,30.4,79,1.65,6.77,8.04,1.22,0.44,3.57,-1.95,,1,1,1
2025-12-08,VSTM,SmallCap,기타,10.25,10.64,29.9,8.1,59,7,25.09.05,25.11.28,0.52,31.0,79,-9.56,-22.93,-25.46,-37.76,-9.14,-26.33,-36.11,,0,0,0
