date,ticker,name,cap,sector,lstm_r5,lstm_r10,lstm_avg,minervini,r5,r10,r20
2026-04-13,MTEN,Mingteng International Corporation Inc. - Class A Ordinary Shares,SmallCap,기타,0.9302,0.6681,0.7992,-,,,
2026-04-13,HCTI,Healthcare Triangle  Inc. - Common Stock,SmallCap,기타,0.9252,0.6714,0.7983,-,,,
2026-04-13,VMAR,Vision Marine Technologies Inc. - Common Shares,SmallCap,기타,0.9119,0.6554,0.7836,-,,,
2026-04-13,TRNR,Interactive Strength Inc. - Common Stock,SmallCap,기타,0.9106,0.6402,0.7754,-,,,
2026-04-13,AKAN,Akanda Corp. - Common Shares,SmallCap,기타,0.9082,0.6359,0.7721,-,,,
2026-04-13,DRCT,Direct Digital Holdings  Inc. - Class A Common Stock,SmallCap,기타,0.9212,0.6219,0.7715,-,,,
2026-04-13,ADIL,Adial Pharmaceuticals  Inc - Common Stock,SmallCap,기타,0.8961,0.645,0.7706,-,,,
2026-04-13,BRTX,BioRestorative Therapies  Inc. - Common Stock,SmallCap,기타,0.9,0.6278,0.7639,-,,,
2026-04-13,DOGZ,Dogness A,SmallCap,소비순환재,0.8701,0.6562,0.7631,-,,,
2026-04-13,DGNX,Diginex,SmallCap,,0.8606,0.6647,0.7627,-,,,
2026-04-15,MTEN,Mingteng International Corporation Inc. - Class A Ordinary Shares,SmallCap,기타,0.9262,0.6631,0.7947,-,,,
2026-04-15,BNRG,Brenmiller Energy Ltd - Ordinary Shares,SmallCap,기타,0.9133,0.6691,0.7912,-,,,
2026-04-15,DOGZ,Dogness A,SmallCap,소비순환재,0.9126,0.6616,0.7871,-,,,
2026-04-15,TRNR,Interactive Strength Inc. - Common Stock,SmallCap,기타,0.9257,0.6442,0.785,-,,,
2026-04-15,NIVF,NewGenIvf Group Limited - Class A Ordinary Shares,SmallCap,기타,0.9017,0.6568,0.7792,-,,,
2026-04-15,AKAN,Akanda Corp. - Common Shares,SmallCap,기타,0.9011,0.6427,0.7719,-,,,
2026-04-15,ADIL,Adial Pharmaceuticals  Inc - Common Stock,SmallCap,기타,0.8943,0.6457,0.77,-,,,
2026-04-15,CISS,C3is Inc. - Common Stock,SmallCap,기타,0.8774,0.6564,0.7669,-,,,
2026-04-15,GOVX,GeoVax Labs  Inc. - Common Stock,SmallCap,기타,0.904,0.6194,0.7617,-,,,
2026-04-15,OCG,Oriental Culture Holding LTD - Ordinary Shares,SmallCap,기타,0.8654,0.6569,0.7611,-,,,
