ticker,name,cap,sector,exchange,cur,rs,trend_ok,pattern_ok,signal,score,grade,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,reason,pct_from_pivot,safety,lgbm_score
A,애질런트 테크놀로지스,LargeCap,헬스케어,NYSE,120.39,-14.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AA,알코아,MidCap,소재,NYSE,71.84,82.8,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,SmallCap,기타,NASDAQ,9.88,-17.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AAL,아메리칸항공그룹,LargeCap,산업,NASDAQ,12.13,-12.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AAME,Atlantic American Corporation - Common Stock,SmallCap,기타,NASDAQ,2.53,6.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AAMI,Acadian Asset Management,SmallCap,금융,NYSE,64.97,51.4,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AAOI,Applied Opt,SmallCap,기술,NASDAQ,146.39,522.3,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AAON,AAON,MidCap,산업,NASDAQ,93.81,1.0,True,False,False,32,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AAP,어드밴스 오토파츠,MidCap,소비순환재,NYSE,56.01,17.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AAPG,Ascentage Pharma,SmallCap,nan,NASDAQ,25.69,-25.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AAPL,애플,MegaCap,기술,NASDAQ,258.83,2.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AARD,Aardvark Therapeutics  Inc. - Common Stock,SmallCap,기타,NASDAQ,4.64,-69.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABAT,American Battery Technology Company - Common Stock,SmallCap,기타,NASDAQ,3.03,15.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABBV,애브비,MegaCap,헬스케어,NYSE,210.26,-6.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABCB,Ameris Bancorp,MidCap,금융,NYSE,82.84,13.3,True,False,False,48,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ABCL,앱셀레라바이오로직스,SmallCap,헬스케어,NASDAQ,3.76,-10.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABEO,Abeona Therapeutics Inc. - Common Stock,SmallCap,기타,NASDAQ,5.19,-9.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABG,Asbury Autom,MidCap,소비순환재,NYSE,206.57,-23.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABM,ABM Industries,MidCap,산업,NYSE,39.63,-22.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABNB,Airbnb  Inc. - Class A Common Stock,SmallCap,기타,NASDAQ,133.85,-5.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABOS,Acumen Pharmaceuticals  Inc. - Common Stock,SmallCap,기타,NASDAQ,2.68,67.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABR,Arbor Realty Trust,MidCap,부동산,NYSE,7.8,-26.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABSI,Absci,SmallCap,헬스케어,NASDAQ,3.15,-8.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABT,애보트 래버러토리스,MegaCap,헬스케어,NYSE,101.05,-30.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABTC,American Bitcoin Corp. - Class A Common Stock,SmallCap,기타,NASDAQ,1.03,-43.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABTS,Abits Group Inc - Ordinary Shares,SmallCap,기타,NASDAQ,1.14,-80.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABUS,Arbutus Biopharma,SmallCap,헬스케어,NASDAQ,4.35,3.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ABVC,ABVC BioPharma  Inc. - Common Stock,SmallCap,기타,NASDAQ,1.36,-36.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACA,Arcosa,MidCap,산업,NYSE,114.24,12.7,True,False,False,48,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACAD,ACADIA Pharmaceuticals,MidCap,헬스케어,NASDAQ,22.02,-3.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACB,Aurora Cannabis Inc. - Common Shares,SmallCap,기타,NASDAQ,3.53,-30.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,SmallCap,기타,NASDAQ,1.51,-29.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACCO,Acco Brands,SmallCap,산업,NYSE,3.14,-27.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACDC,Profrac Holding,SmallCap,에너지,NASDAQ,5.85,13.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACEL,Accel Entertainment,SmallCap,소비순환재,NYSE,11.72,-4.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
