date,ticker,cap,sector,exchange,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,vol_ratio,rs,score,grade,hist_count,hist_winrate,hist_detail
2026-03-24,REX,SmallCap,에너지,NYSE,40.76,41.18,19.5,6.0,36,6,1.91,49.3,89,A,6,17,25-12-17:0.2/-1.4|25-12-22:-4.7/0.6|25-12-23:-5.9/-1.0|25-12-24:-5.1/-2.1|25-12-26:-6.6/-2.1|26-02-25:6.8/None
2026-03-24,RNGR,SmallCap,에너지,NYSE,17.44,17.67,16.0,7.0,52,17,1.85,26.1,82,A,1,0,26-03-17:1.5/None
2026-03-24,FDP,SmallCap,필수소비재,NYSE,42.55,43.02,16.1,7.4,55,17,2.14,24.1,82,A,0,0,
2026-03-24,BHE,SmallCap,기술,NYSE,59.5,60.36,23.7,12.4,49,20,1.84,40.6,77,B,0,0,
2026-03-24,JBL,LargeCap,기술,NYSE,277.38,277.57,17.9,13.1,42,20,1.63,33.0,74,B,4,75,26-01-13:6.2/9.5|26-02-03:5.4/3.9|26-02-18:6.5/-0.7|26-02-19:3.6/1.1
2026-03-23,CRC,MidCap,에너지,NYSE,63.85,64.74,24.7,5.1,67,12,1.91,35.4,85,A,2,0,26-03-16:1.4/None|26-03-17:2.2/None
2026-03-20,CLDX,SmallCap,헬스케어,NYSE,30.9,31.23,24.2,8.6,40,8,1.43,32.6,79,B,1,0,26-03-09:-1.8/None
2026-03-19,GFR,SmallCap,에너지,NYSE,6.6,6.64,19.1,10.4,74,10,2.41,31.9,79,B,1,0,26-03-02:10.1/None
2026-03-19,ELVN,SmallCap,헬스케어,NYSE,30.05,30.7,36.8,11.2,45,7,2.21,57.2,77,B,1,0,26-02-25:2.4/None
2026-03-19,MOV,SmallCap,소비순환재,NYSE,25.23,25.81,35.4,10.7,39,20,1.51,27.8,63,C,2,100,26-01-06:4.1/15.1|26-01-07:1.6/10.4
