ticker	name	sector	cap	exchange
BTU	피바디 에너지	에너지	SmallCap	NYSE
TGI	Triumph Group Inc	산업	SmallCap	NYSE
CNMD	CONMED Corp	헬스케어	SmallCap	NYSE
BBUC	Brookfield Business	필수소비재	SmallCap	NYSE
FL	풋락커	소비순환재	SmallCap	NYSE
OFG	OFG Bancorp	금융	SmallCap	NYSE
PBI	피트니 보우스	기술	SmallCap	NYSE
CRI	Carter’s	소비순환재	SmallCap	NYSE
WMK	Weis Markets	필수소비재	SmallCap	NYSE
MNR	Mach Natural	에너지	SmallCap	NYSE
DBRG	Digitalbridge Group	부동산	SmallCap	NYSE
DFIN	Donnelley Financial Solutions	산업	SmallCap	NYSE
STC	Stewart Info Services	금융	SmallCap	NYSE
SEI	Solaris Oilfield	에너지	SmallCap	NYSE
LZB	La-Z-Boy Inc	소비순환재	SmallCap	NYSE
HG	Hamilton Insurance	금융	SmallCap	NYSE
SAND	Sandstorm Gold Ltd N	소재	SmallCap	NYSE
UTZ	Utz Brands	필수소비재	SmallCap	NYSE
INSW	International Seaways	에너지	SmallCap	NYSE
CVI	CVR Energy Inc	에너지	SmallCap	NYSE
QBTS	D Wave Quantum	기술	SmallCap	NYSE
GBX	Greenbrier Co	산업	SmallCap	NYSE
MSDL	Morgan Stanley Direct Lending Fund	금융	SmallCap	NYSE
NABL	NAble	기술	SmallCap	NYSE
CTRI	Centuri Holdings	산업	SmallCap	NYSE
DNOW	Now Inc	산업	SmallCap	NYSE
NIC	Nicolet Bankshares	금융	SmallCap	NYSE
PL	Planet Labs PBC	산업	SmallCap	NYSE
FIHL	Fidelis Insurance Holdings	금융	SmallCap	NYSE
DRH	DiamondRock	부동산	SmallCap	NYSE
VSTS	Vestis	필수소비재	SmallCap	NYSE
VYX	NCR Corp	기술	SmallCap	NYSE
DHT	DHT Holdings Inc	에너지	SmallCap	NYSE
CUBI	Customers Bancorp	금융	SmallCap	NYSE
NTB	Bank of N.T. Butterfield Son	금융	SmallCap	NYSE
PRG	PROG Holdings	필수소비재	SmallCap	NYSE
OI	O-I Glass	소재	SmallCap	NYSE
ARCO	Arcos Dorados Holdings Inc	소비순환재	SmallCap	NYSE
LUCK	Lucky Strike Entertainment	소비순환재	SmallCap	NYSE
REVG	Rev Group	산업	SmallCap	NYSE
HE	Hawaiian Electric Industries Inc	유틸리티	SmallCap	NYSE
DBD	Diebold Nixdorf	기술	SmallCap	NYSE
PD	Pagerduty	기술	SmallCap	NYSE
KMT	Kennametal	산업	SmallCap	NYSE
SJW	SJW Corp	유틸리티	SmallCap	NYSE
PRM	Perimeter Solutions	소재	SmallCap	NYSE
SPHR	Sphere Entertainment	소비순환재	SmallCap	NYSE
PHR	Phreesia	기술	SmallCap	NYSE
KEN	Kenon Holdings	유틸리티	SmallCap	NYSE
KLG	WK Kellogg	필수소비재	SmallCap	NYSE
TALO	Talos Energy	에너지	SmallCap	NYSE
HMN	H.M.E.C.	금융	SmallCap	NYSE
FCF	First Commonwe.	금융	SmallCap	NYSE
ROG	Rogers Corp	기술	SmallCap	NYSE
NPWR	NET Power	유틸리티	SmallCap	NYSE
THS	Treehouse Foods	필수소비재	SmallCap	NYSE
CABO	Cable One Inc	기술	SmallCap	NYSE
TNC	Tennant Co.	산업	SmallCap	NYSE
NBHC	National Bank Holdings	금융	SmallCap	NYSE
GNL	Global Net Lease	부동산	SmallCap	NYSE
AG	First Majestic Silver	소재	SmallCap	NYSE
NGVT	Ingevity	소재	SmallCap	NYSE
NWN	NW Natural	유틸리티	SmallCap	NYSE
DAC	다나오스	산업	SmallCap	NYSE
VRE	Veris Residential	부동산	SmallCap	NYSE
DESP	Despegar.com	소비순환재	SmallCap	NYSE
ARIS	Aris Water Solutions	산업	SmallCap	NYSE
LC	LendingClub	금융	SmallCap	NYSE
KN	Knowles Cor	기술	SmallCap	NYSE
ATEN	A10 Network	기술	SmallCap	NYSE
CODI	Compass Diversified Holdings	금융	SmallCap	NYSE
WKC	World Fuel Services	에너지	SmallCap	NYSE
XPRO	Expro Holdings NV	에너지	SmallCap	NYSE
RDW	Redwire	산업	SmallCap	NYSE
GB	Global Blue Group Holding	산업	SmallCap	NYSE
AMBP	Ardagh Metal Packaging	소재	SmallCap	NYSE
WTTR	Select Energy Services	에너지	SmallCap	NYSE
STEL	Stellar Bancorp	금융	SmallCap	NYSE
LTC	LTC Properties	부동산	SmallCap	NYSE
UTI	Universal Tech	아카데믹 및 교육 서비스	SmallCap	NYSE
MMI	Marcus & Millichap	부동산	SmallCap	NYSE
SHCO	Soho House	기술	SmallCap	NYSE
